"","APP","PI","MC","RU"
"342406",0.682875,0.57875,0.967875,0.0714999999999998
"344202",0.9995,0.996625,0.9935,0.84125
"344652",0.999375,0.919625,0.98225,0.931625
"347425",0.99875,0.967875,0.99075,0.871875
"350690",0.00149999999999998,0.00237500000000004,0.23175,0.00887500000000006
"351668",1,0.964875,0.99875,0.998625
"351710",0.99875,0.96525,0.98775,0.99975
"352024",0.597,0.560125,0.38125,0.0581249999999998
"352599",0.964875,0.994875,0.870875,0.966
"353023",0.000250000000000015,0.00324999999999998,0.0286250000000001,0.000250000000000015
"353233",0.01425,0.0460000000000003,0.0181249999999999,0.000374999999999993
"354481",0.0252500000000002,0.00824999999999994,0.0219999999999999,0.000624999999999998
"354564",0.9525,0.634,0.996375,0.9055
"354885",0.007625,0.0133750000000001,0.327374999999999,0.0286249999999995
"358534",0.000749999999999989,0.00949999999999996,0.0302499999999999,0.00087500000000002
"359156",0.99975,0.99675,0.992625,0.983
"359550",0.0112499999999997,0.00575000000000005,0.00124999999999995,0.000249999999999984
"360948",0.998125,0.96625,0.95875,0.993625
"361250",0.98075,0.992625,0.9955,0.937625
"364484",0.000250000000000017,0.0240000000000002,0.000750000000000002,0.00475000000000018
"365182",0.16825,0.172125,0.956375,0.418
"366620",0.0035,0.0691250000000002,0.00200000000000002,0.203875000000002
"367447",0.0201249999999999,0.00587500000000016,0.0403750000000002,0.0349999999999999
"367804",0.000124999999999986,0.0121249999999999,0.0481249999999997,0.00675000000000008
"368009",0.994875,0.564375000000001,0.95525,0.061
"368669",0.9915,0.95275,0.9615,0.999125
"369598",0.99525,0.8275,0.814875,0.768499999999999
"369714",0.99975,0.975375,0.996,0.743125
"369821",0.000124999999999995,0.0115000000000001,0.00575000000000005,0.00112499999999998
"370275",0.00412499999999992,0.00137500000000003,0.72275,0.02875
"373147",0.9955,0.920875,0.634249999999999,0.581875000000001
"374977",0.255374999999999,0.0477499999999999,0.0343749999999999,0.000374999999999993
"375080",1,0.99175,0.9925,0.7405
"375846",0,0.0104999999999999,0.00250000000000004,0.000250000000000014
"376654",0.9995,0.981125,0.9765,0.9985
"377211",0.189375000000001,0.0238749999999999,0.414,0.00287500000000001
"377260",0.190250000000001,0.1745,0.9185,0.32075
"377524",0.996125,0.91275,0.510999999999999,0.0523749999999999
"377802",0.991125,0.98225,0.977875,0.462875
"377860",0.10825,0.628375,0.00462500000000007,0.00674999999999999
"379116",0.99975,0.998375,0.998375,0.999125
"379230",0.000500000000000028,0.002,0.00887500000000008,0.000374999999999991
"379921",0.989875,0.957625,0.932375,0.986125
"379967",0.998375,0.962,0.974125,0.99025
"380685",0.0266250000000005,0.0104999999999997,0.313750000000001,0.00187499999999999
"381115",0.000500000000000034,0.00350000000000001,0.0120000000000002,0.00500000000000006
"382577",0.545750000000001,0.529500000000001,0.237874999999999,0.00224999999999998
"382777",0.988875,0.942999999999999,0.739625000000001,0.804249999999999
"385501",0.106,0.0204999999999999,0.0122500000000001,0.000250000000000005
"385649",0.00325000000000002,0.00337499999999995,0.92975,0.00562499999999994
"385808",0.0522499999999996,0.304249999999999,0.9885,0.990625
"386162",0.663624999999999,0.664875,0.876,0.623749999999999
"388340",0.995875,0.975,0.819374999999999,0.966
"388799",0.97825,0.919125,0.89875,0.791125
"390016",0.0400000000000002,0.0603749999999999,0.7555,0.14575
"390111",0.934,0.942249999999999,0.997,0.9765
"390509",0.98075,0.991625,0.979375,0.95325
"391313",0.956625,0.963875,0.929000000000001,0.997625
"392725",0.0498749999999999,0.1555,0.067375,0.027875
"393839",0.89875,0.10275,0.865125,0.0285
"394028",0.315125,0.442624999999998,0.0444999999999999,0.00700000000000002
"394295",0.970375,0.9905,0.269875000000001,0.793875
"394485",0.986125,0.5405,0.98775,0.0130000000000001
"394832",0.9895,0.941,0.989625,0.238
"395292",0.999375,0.9815,0.974875,0.98925
"396911",0.0456249999999999,0.0582499999999999,0.909875,0.3765
"398808",1,0.996125,0.99375,0.9985
"399427",0.99925,0.980625,0.9895,0.952375
"399617",0.0253749999999997,0.00775000000000015,0.743375,0.138875
"401359",0.000875000000000025,0.00437500000000002,0.0512500000000004,0.00524999999999986
"402102",0.00237500000000009,0.0372499999999999,0.029375,0.00387500000000001
"402662",0.000124999999999995,0.00524999999999989,0.00512499999999998,0.0547500000000001
"404193",0.01525,0.00425000000000003,0.72825,0.0298749999999999
"404358",0.000250000000000015,0.0391249999999999,0.000124999999999991,0.000749999999999993
"404542",0.999375,0.8225,0.969,0.518875
"404672",0.191625,0.0441250000000001,0.71925,0.22875
"405844",0.604375,0.8325,0.0240000000000001,0.0105
"406082",0.0397500000000001,0.143125,0.345375,0.666000000000002
"406656",0.974875,0.554875,0.9905,0.10875
"406854",0.0164999999999999,0.0107500000000002,0.8235,0.444125
"407980",0.000749999999999989,0.00425000000000002,0.000875000000000023,0.00325
"408017",0.0432500000000001,0.0218750000000001,0.928875,0.06175
"408088",0.9995,0.96175,0.998625,0.9795
"408367",0.979125,0.827625,0.643125,0.0402499999999999
"408821",0.723625000000001,0.0787500000000002,0.97475,0.034125
"410083",0.999875,0.93675,0.987125,0.144125
"410333",0.0802500000000002,0.0821249999999998,0.441625,0.600000000000003
"410474",0.991125,0.305,0.960875,0.0726250000000007
"410704",0.99325,0.541125,0.946624999999999,0.00250000000000002
"414003",0.12375,0.0993749999999998,0.64,0.083625
"414840",0.000749999999999989,0.00149999999999999,0.920875,0.0103750000000002
"415602",0.0218750000000002,0.10125,0.00500000000000008,0.31225
"417087",0.99525,0.6005,0.98275,0.193375
"417112",1,0.961375,0.998375,0.97275
"419466",0.0363750000000002,0.0381249999999997,0.96225,0.531499999999999
"419692",0.0674999999999999,0.168875,0.061,0.00675000000000004
"420862",0.899874999999999,0.1055,0.98875,0.0393750000000001
"422419",0.002375,0.00312500000000003,0.443125,0.000624999999999995
"422936",0.00600000000000003,0.0204999999999999,0.92875,0.00275000000000008
"423056",0.0185,0.0398749999999999,0.877625,0.13225
"423214",0.228125,0.379625000000001,0.97675,0.781125
"424211",0.81375,0.923375,0.102875,0.0877500000000002
"424730",0.0802500000000002,0.0927500000000002,0.2025,0.079
"425839",0.723375,0.0811249999999999,0.974125,0.030625
"426374",0,0.00412499999999993,0.00100000000000006,0.000124999999999999
"427361",0.995375,0.761875,0.995125,0.67625
"427590",0.162,0.0193749999999999,0.8905,0.0261249999999999
"429128",0.0261249999999999,0.589750000000001,0.00899999999999998,0.00425000000000004
"431190",0.00500000000000009,0.0200000000000001,0.875875,0.0180000000000001
"431877",0.963875,0.6895,0.078375,0.00324999999999997
"432310",0.802249999999999,0.89825,0.634249999999999,0.07925
"434471",0.0191249999999997,0.00637500000000002,0.00412499999999996,0
"434679",0.999875,0.963375,0.998375,0.999125
"435745",0.10825,0.196374999999998,0.000374999999999992,0.002
"436930",0.999625,0.993375,0.9775,0.7555
"438418",0.00112499999999998,0.0157500000000001,0.446374999999999,0.025
"438544",0.0196250000000001,0.00700000000000005,0.157875000000001,0.00112499999999998
"439746",1,0.98025,0.992375,0.999875
"441785",0.993,0.284,0.9855,0.0213750000000001
"441855",0.9095,0.524625,0.917875,0.062125
"442825",0.000125,0.00637499999999994,0.00100000000000004,0.00612500000000005
"444948",0.999625,0.925625,0.994875,0.752875
"445806",1,0.996875,0.9925,0.998875
"446139",0.0143750000000002,0.0298749999999999,0.000124999999999986,0.00587500000000002
"448125",0.0548750000000004,0.0117499999999999,0.064875,0.00250000000000003
"448464",0.00625000000000001,0.00462500000000009,0.000624999999999981,0.000374999999999992
"448595",0,0.0103750000000001,0.00187499999999995,0
"449291",0.000125000000000006,0.145,0.0085,0.10575
"449326",0.000374999999999992,0.0111250000000001,0.0135000000000001,0.000500000000000038
"449699",0.986125,0.975375,0.966125,0.625875
"451570",0.973,0.981,0.00300000000000001,0.0115000000000001
"451638",0.398999999999999,0.161875,0.95825,0.20675
"452341",0.576000000000001,0.553125,0.967625,0.383
"453044",0.0847500000000003,0.0616250000000005,0.958625,0.453625
"454851",0.99525,0.924125,0.979125,0.7465
"456157",0.399874999999999,0.122625,0.9535,0.545750000000001
"456331",0.999625,0.95275,0.9985,0.96325
"462246",0.922999999999999,0.613375,0.642875,0.15075
"462353",0.331125,0.0556250000000002,0.947375,0.0132499999999999
"467868",0.978625,0.948625,0.981375,0.81725
"468828",0.725,0.076125,0.976,0.00512499999999999
"469756",0.0361249999999999,0.332125,0.354499999999999,0.7945
"469900",0.7445,0.287,0.983875,0.501250000000001
"470166",0.9665,0.541875,0.97925,0.0575000000000001
"470472",0.999875,0.91275,0.997,0.684875
"471854",0.999625,0.99725,0.99825,0.9995
"473847",0.995,0.961,0.993,0.99925
"474182",0,0.0132499999999999,0.0286250000000001,0.00475000000000006
"474486",0.99075,0.950375,0.997,0.941625
"474502",0.7625,0.22625,0.976125,0.0523750000000002
"477052",0.0307500000000001,0.0268749999999997,0.376375,0.135125
"478120",0.9985,0.9475,0.97975,0.901875
"478962",0,0.00412499999999989,0,0.000250000000000016
"479593",0.99225,0.863875,0.96475,0.41925
"481397",0.21975,0.0570000000000009,0.9275,0.381625
"483995",0.939875,0.184124999999999,0.953,0.0337499999999999
"484825",0.39125,0.151374999999999,0.236875,0.00600000000000004
"485844",0.9105,0.512875,0.930125,0.00224999999999997
"486189",0.996,0.972375,0.997,0.944875
"489935",0.013875,0.14975,0.198875,0.146625
"491194",0.110375,0.372499999999999,0.00600000000000007,0.000124999999999998
"494056",0.00487499999999996,0.174875,0.726875,0.48575
"495430",0.998,0.983875,0.988625,0.27175
"495668",0.0595000000000001,0.0131250000000001,0.0658749999999999,0.00012500000000001
"496844",0.012625,0.00425,0.15325,0.000249999999999997
"497306",0.0135000000000002,0.415624999999999,0.895249999999999,0.00762500000000001
"497579",0.998,0.967125,0.99675,0.877125
"497743",0,0.00224999999999993,0.0204999999999999,0.00149999999999996
"498268",0.904875000000001,0.787124999999998,0.47475,0.0523749999999998
"498370",0.001375,0.0381249999999999,0.0469999999999999,0.00712499999999997
"499838",0.000124999999999997,0.00737500000000005,0.00700000000000003,0.016375
"500170",0.000624999999999989,0.00337499999999998,0.00350000000000009,0.000250000000000017
"500717",0.97975,0.97,0.9325,0.0242499999999998
"500749",0.999625,0.9965,0.987125,0.996375
"500902",0,0.00212499999999997,0.00050000000000004,0.000249999999999997
"501222",0.000250000000000006,0.00312500000000004,0.000124999999999998,0.00274999999999999
"502653",0.00437500000000007,0.0101249999999999,0.44075,0.00612500000000004
"504164",0.674875,0.6165,0.8685,0.320125
"505129",0.97025,0.796375,0.992125,0.80625
"505294",0.999,0.996375,0.349,0.909
"506707",0.000125000000000003,0.00425000000000004,0.311875,0.00124999999999995
"507694",0.96225,0.801875,0.73225,0.980875
"508968",0.73175,0.114625,0.9775,0.144625000000001
"510823",0.9365,0.52275,0.985375,0.0211250000000002
"511603",0.0717499999999993,0.359375,0.677125000000001,0.960125
"512733",0.04475,0.01575,0.841,0.23175
"514087",0.0192500000000002,0.00474999999999999,0.458499999999999,0.00575000000000006
"515855",0.96275,0.993375,0.994125,0.90225
"516054",0.99175,0.77375,0.975624999999999,0.665125
"517534",0.744749999999999,0.621249999999998,0.97325,0.0676250000000002
"517666",0.371125,0.23375,0.802875,0.0572500000000002
"517957",0.9995,0.86075,0.998125,0.935375
"518319",0.00312500000000012,0.0346250000000003,0.0165,0.000124999999999998
"519583",0.0888749999999992,0.0834999999999994,0.937,0.164
"520070",0.00100000000000007,0.2135,0.00074999999999999,0.0426250000000001
"520802",0.3305,0.34575,0.52825,0.635749999999999
"522169",0.0490000000000002,0.0741250000000003,0.941,0.294249999999998
"522393",0.596999999999999,0.0629999999999999,0.71575,0.000374999999999996
"528077",0.60775,0.81725,0.517999999999999,0.00699999999999999
"529885",0.000374999999999994,0.011,0.000250000000000015,0.00287500000000002
"530201",0.354625,0.0983749999999998,0.875375,0.497875
"531605",0.00362499999999996,0.00725000000000002,0.15025,0.00262499999999995
"532372",0.00124999999999996,0.00287500000000003,0.00100000000000002,0.00175000000000004
"533168",0.0221249999999999,0.0486249999999999,0.0193749999999999,0.00050000000000002
"535982",0.8655,0.867999999999999,0.95975,0.993625
"536756",0.00425000000000007,0.112125,0.00187500000000001,0.00662500000000002
"537222",0,0.00987499999999994,0.000874999999999933,0.00287500000000003
"542098",0.0701249999999998,0.0120000000000002,0.935125,0.00650000000000004
"542538",0.032,0.007875,0.0136249999999999,0.0050000000000001
"542773",1,0.997125,0.998625,0.998875
"545511",0.0453750000000001,0.00687500000000003,0.884125,0.05375
"545866",0.947875,0.699875,0.985,0.515125000000001
"546995",0.520250000000001,0.0496250000000001,0.962,0.004125
"547323",0.990625,0.9735,0.885125,0.0108749999999999
"547630",0.000624999999999986,0.00262499999999991,0.0110000000000003,0.00100000000000003
"547906",0.0181250000000001,0.00312500000000009,0.92825,0.00100000000000004
"548338",0.00150000000000001,0.00400000000000001,0.00250000000000004,0.000500000000000029
"548585",0.99925,0.78225,0.990125,0.93125
"548840",0.989625,0.973875,0.996,0.996625
"550082",0,0.00374999999999998,0.0108749999999999,0
"550334",0.000374999999999991,0.00462500000000001,0.00337500000000001,0.01025
"552033",0.643625,0.47875,0.018125,0.00187499999999999
"553106",0.000749999999999993,0.1125,0.141625,0.0209999999999993
"554246",0.9995,0.93675,0.973875,0.852624999999999
"555197",0.998,0.996875,0.435750000000001,0.901375
"556351",1,0.997,0.998875,0.98475
"558826",0.064375,0.0104999999999998,0.745375,0.0531250000000002
"558975",0.214499999999999,0.133374999999999,0.754625,0.412625
"560197",0.167875,0.0176250000000001,0.935875,0.00837499999999998
"560286",0.888,0.4935,0.8775,0.00937500000000004
"561258",0.0665000000000003,0.056125,0.925250000000001,0.00250000000000004
"562966",1,0.99025,0.99475,0.676375
"563581",0.00125000000000001,0.0329999999999999,0.00100000000000007,0.00112499999999999
"564266",0.855125,0.0822499999999999,0.982125,0.00212500000000002
"566632",0.976875,0.929875,0.99725,0.90975
"567170",0.00425000000000003,0.00425000000000004,0.0123750000000001,0
"567226",0.00137500000000004,0.035375,0.00149999999999998,0.000624999999999967
"567371",0.9955,0.596625,0.99725,0.76175
"568483",0.0103750000000001,0.00350000000000003,0.0121249999999999,0.00787499999999994
"568526",0.99375,0.53475,0.98925,0.00200000000000003
"568845",0.999125,0.966625,0.9275,0.994875
"569699",0.000500000000000019,0.102125,0.13275,0.00487499999999996
"570200",0.000125000000000001,0.00175000000000006,0.690749999999999,0.0215
"570669",0.00100000000000004,0.338124999999999,0.0642499999999997,0.104000000000001
"570670",0.997625,0.998,0.997875,0.99075
"570751",0.00762499999999983,0.104125,0.137875,0.00337499999999997
"570823",0.00624999999999998,0.00237500000000008,0.0103750000000001,0.000125000000000002
"571520",0.00149999999999997,0.00299999999999997,0.000875000000000005,0
"573860",0.000374999999999993,0.00275000000000008,0.00799999999999999,0
"574158",0.999875,0.94675,0.979,0.2835
"575464",0.98075,0.881125,0.976,0.172250000000001
"575841",0.9995,0.619,0.9905,0.221625
"576336",0.000249999999999993,0.00449999999999998,0.174875,0.0619999999999999
"576406",0,0.00275000000000012,0.0735000000000003,0.000500000000000026
"576926",0.00324999999999995,0.00224999999999999,0.4345,0.00287500000000003
"577035",0.00725000000000001,0.011375,0.9095,0.36675
"578216",0.00900000000000003,0.00462499999999997,0.158,0.017375
"578536",0.0128749999999999,0.00874999999999997,0.797999999999999,0.00962500000000004
"579138",0.9965,0.990625,0.0286249999999996,0.077375
"579627",0.705125,0.447625,0.828875,0.171499999999999
"579779",0.996875,0.935,0.886625,0.0253749999999998
"580370",0.97325,0.943375,0.952375,0.99525
"580528",0.956,0.93525,0.998125,0.9985
"585846",0.638875,0.468875000000001,0.97525,0.396625
"587398",0.755875,0.441375,0.833125,0.0642500000000001
"587523",0,0.00250000000000004,0.0186249999999999,0.000125000000000004
"587613",0.158624999999999,0.02375,0.33375,0.0430000000000005
"587984",0.34175,0.10775,0.584,0.0023750000000001
"588896",0.476124999999999,0.34075,0.1555,0.0102500000000002
"589194",0.09025,0.0100000000000001,0.927875,0.00387500000000009
"589654",0.127875,0.12675,0.134875,0.0258750000000003
"590523",0.376124999999999,0.610375,0.464000000000001,0.73725
"590979",0.00400000000000001,0.00262499999999993,0.1505,0.00512500000000003
"591487",0.906625000000001,0.978625,0.986125,0.99625
"591881",0.247250000000001,0.209125,0.218624999999999,0.123
"592325",0.00124999999999998,0.00262499999999996,0.230999999999999,0.00162499999999999
"593688",0.0872500000000001,0.1785,0.1605,0.00675
"595730",0.003625,0.00324999999999981,0.94275,0.293875
"596325",0.35875,0.0475,0.955875,0.104000000000001
"596803",0.0193749999999999,0.0497500000000003,0.00100000000000002,0.00212500000000002
"597645",1,0.991625,0.980375,0.913625
"597654",0.71075,0.45425,0.6445,0.0871249999999998
"597757",0.99525,0.99725,0.937375,0.98725
"598460",0.156875,0.0217499999999997,0.313250000000001,0.00562499999999982
"600459",0.959875,0.98575,0.987625,0.8985
"601495",0.9825,0.855125,0.991375,0.4415
"604333",0.9895,0.98775,0.028375,0.0484999999999999
"604715",0.000125,0.0130000000000001,0.00637500000000002,0.0103750000000001
"607015",0.999,0.994,0.99625,0.84525
"607593",0.000250000000000017,0.00624999999999998,0.0107500000000001,0.000124999999999995
"609267",0.00299999999999998,0.00137500000000003,0.92575,0.064125
"611025",0.00374999999999997,0.00362500000000001,0.0117500000000001,0.00312500000000001
"611131",0.8025,0.957625,0.99525,0.981625
"612143",0.999875,0.99475,0.9805,0.9525
"612999",0.996875,0.959125,0.9875,0.994875
"613719",0,0.00262499999999999,0.000374999999999994,0
"614462",0.00062499999999998,0.00224999999999998,0.585375,0.00662500000000001
"616613",0,0.00362500000000001,0.00137500000000003,0.000500000000000016
"617078",0.119875,0.0218750000000002,0.66325,0.143874999999999
"620918",0.01725,0.00799999999999999,0.00287500000000003,0.00050000000000003
"622101",0.999375,0.9795,0.99025,0.955
"622757",0.00662499999999992,0.00412499999999998,0.00237499999999999,0.00125000000000002
"623980",0.00224999999999996,0.0183750000000001,0.00137500000000002,0.106625
"624022",0.9645,0.544,0.937875,0.0200000000000001
"626383",0.90525,0.286375,0.987375,0.0941250000000013
"626573",0,0.00250000000000004,0.000374999999999991,0.000124999999999989
"626673",0.973,0.48275,0.0878749999999999,0.128750000000001
"627214",0.9755,0.849,0.990375,0.416125
"627716",0,0.0154999999999999,0.019,0.132875000000001
"630237",0.980875,0.308,0.991125,0.0993750000000001
"631612",0.019375,0.004,0.221375,0.000875000000000027
"631683",0.999625,0.9325,0.963375,0.766625
"632457",0.999625,0.954875,0.998,0.934625
"634134",0.046625,0.0161249999999999,0.01625,0.0801249999999994
"634424",0.00462500000000005,0.0278750000000001,0.062,0.0627499999999995
"635023",0.0576249999999999,0.0342499999999999,0.024125,0.00162499999999998
"636338",0.999875,0.95575,0.96775,0.937
"636589",0.000124999999999996,0.0130000000000001,0.000625000000000003,0.00362500000000001
"636853",0.9965,0.9545,0.9925,0.97375
"636957",0.9905,0.8895,0.941625,0.119375
"637423",0.727375,0.704375,0.576,0.428
"637866",0.00200000000000015,0.227375,0.1425,0.407750000000002
"638587",0.269375000000001,0.21625,0.06825,0.00250000000000003
"638751",0.907374999999999,0.55175,0.6535,0.0132499999999999
"638886",1,0.99625,0.9975,0.91975
"640434",0.00037499999999999,0.00612500000000002,0.000625000000000003,0.175874999999999
"641188",0.96075,0.900875,0.9705,0.99675
"643877",0.00137500000000003,0.0249999999999998,0.00262499999999997,0.0127499999999999
"644116",0.695249999999999,0.4065,0.946125,0.00512499999999997
"644488",0.918499999999999,0.495875,0.985375,0.00275000000000002
